               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.017549,           0.0089511,            0.018761,             0.85681,              0.9224,             0.93497,             0.73402,            0.012793,           0.0028249,           0.0073621,             0.00604,             0.00604,             0.00604
                  82,             0.01771,           0.0091382,             0.01789,             0.83242,             0.92456,             0.92687,             0.72268,             0.01261,           0.0028583,           0.0069351,           0.0059905,           0.0059905,           0.0059905
                  83,            0.017998,           0.0092031,            0.019158,             0.88211,             0.94326,             0.96874,              0.7336,            0.014117,           0.0029687,           0.0061781,            0.005941,            0.005941,            0.005941
                  84,            0.017406,           0.0087252,            0.018509,             0.88293,             0.91551,             0.94917,             0.75999,            0.012282,           0.0028874,           0.0071888,           0.0058915,           0.0058915,           0.0058915
                  85,            0.017668,           0.0091852,            0.018583,             0.86798,             0.92953,              0.9507,             0.74783,            0.012991,           0.0028477,           0.0077399,            0.005842,            0.005842,            0.005842
                  86,            0.017485,           0.0091272,            0.018192,              0.8782,             0.91123,             0.95552,             0.75884,            0.012699,           0.0028156,           0.0069393,           0.0057925,           0.0057925,           0.0057925
                  87,            0.017257,           0.0088812,            0.018331,             0.91316,             0.87128,             0.94803,             0.74042,            0.012722,           0.0027762,           0.0068213,            0.005743,            0.005743,            0.005743
                  88,            0.017319,           0.0090699,            0.018498,             0.87019,             0.90044,             0.94258,             0.75598,            0.012859,           0.0028193,           0.0075826,           0.0056935,           0.0056935,           0.0056935
                  89,            0.016954,           0.0088977,             0.01819,             0.87351,             0.90274,             0.94192,             0.76626,            0.012126,           0.0026762,           0.0078611,            0.005644,            0.005644,            0.005644
                  90,            0.017666,           0.0089008,            0.017443,             0.84785,             0.91709,             0.94176,             0.75867,             0.01224,           0.0026374,           0.0080583,           0.0055945,           0.0055945,           0.0055945
                  91,            0.017034,           0.0089034,            0.017209,             0.91816,             0.90175,             0.95635,              0.7682,            0.011745,           0.0025791,           0.0069842,            0.005545,            0.005545,            0.005545
                  92,            0.017282,           0.0088798,            0.018138,             0.92632,             0.88527,              0.9669,             0.74993,            0.012681,           0.0027973,           0.0062063,           0.0054955,           0.0054955,           0.0054955
                  93,            0.016866,           0.0087865,             0.01774,             0.89531,             0.89148,             0.96178,             0.77609,            0.013137,           0.0027466,           0.0067495,            0.005446,            0.005446,            0.005446
                  94,            0.017101,           0.0088134,            0.016934,             0.91859,             0.93046,             0.96815,             0.77048,            0.012497,           0.0027307,            0.005741,           0.0053965,           0.0053965,           0.0053965
                  95,             0.01696,           0.0087512,            0.016562,             0.89816,             0.91178,             0.96281,             0.75996,            0.012861,           0.0027551,           0.0066288,            0.005347,            0.005347,            0.005347
                  96,              0.0171,           0.0090888,            0.017513,             0.90992,             0.89807,             0.94344,             0.74036,            0.012971,            0.002756,           0.0066031,           0.0052975,           0.0052975,           0.0052975
                  97,            0.016788,           0.0090002,            0.017037,             0.91315,             0.91098,             0.94981,             0.73799,            0.013051,           0.0026855,           0.0070427,            0.005248,            0.005248,            0.005248
                  98,            0.017207,           0.0089676,            0.016437,             0.91925,              0.8865,             0.95346,             0.76012,            0.011989,           0.0027476,           0.0071929,           0.0051985,           0.0051985,           0.0051985
                  99,            0.016769,           0.0088066,            0.015875,             0.92547,             0.87396,             0.95846,             0.77397,            0.012193,           0.0026602,           0.0069978,            0.005149,            0.005149,            0.005149
                 100,            0.016792,           0.0088753,             0.01678,             0.92159,             0.89436,              0.9591,             0.75325,            0.012279,           0.0026958,           0.0065532,           0.0050995,           0.0050995,           0.0050995
                 101,            0.017151,            0.009028,            0.016501,             0.92621,             0.88469,             0.95404,              0.7572,            0.011902,           0.0026341,           0.0072609,             0.00505,             0.00505,             0.00505
                 102,            0.017046,           0.0088751,            0.016082,             0.91471,              0.9081,             0.96258,             0.76433,             0.01211,           0.0026687,           0.0074185,           0.0050005,           0.0050005,           0.0050005
                 103,            0.016286,           0.0086265,            0.015189,             0.93678,             0.90804,             0.95594,             0.78834,            0.011277,           0.0025723,           0.0066373,            0.004951,            0.004951,            0.004951
                 104,            0.016099,           0.0085985,             0.01545,             0.92022,             0.91319,             0.96301,             0.74778,            0.012192,           0.0026586,           0.0063237,           0.0049015,           0.0049015,           0.0049015
                 105,            0.016249,           0.0088698,            0.016242,             0.91089,             0.90249,              0.9605,             0.77548,            0.010963,           0.0026365,            0.007196,            0.004852,            0.004852,            0.004852
                 106,            0.016711,           0.0086986,            0.015924,             0.91789,             0.90623,             0.96007,             0.77298,             0.01187,           0.0026331,            0.007299,           0.0048025,           0.0048025,           0.0048025
                 107,            0.016509,           0.0088005,            0.015488,             0.92134,             0.89237,             0.95985,             0.78271,            0.011979,           0.0026795,           0.0064675,            0.004753,            0.004753,            0.004753
                 108,            0.016079,           0.0085786,            0.014275,             0.89246,             0.85757,               0.939,             0.76484,            0.011602,           0.0026225,           0.0095332,           0.0047035,           0.0047035,           0.0047035
                 109,            0.016162,           0.0085482,            0.014652,              0.8994,             0.88886,             0.95262,             0.75572,            0.012091,           0.0026619,           0.0079521,            0.004654,            0.004654,            0.004654
                 110,            0.016073,             0.00866,            0.015014,             0.92828,             0.90393,             0.96677,             0.77676,            0.012214,           0.0026931,           0.0060735,           0.0046045,           0.0046045,           0.0046045
                 111,            0.015932,           0.0084097,            0.014163,             0.92337,             0.90207,             0.95994,             0.76633,            0.012691,           0.0026557,           0.0068438,            0.004555,            0.004555,            0.004555
                 112,            0.016056,           0.0084211,            0.014262,             0.94984,             0.89255,             0.96466,             0.78222,            0.011389,           0.0027213,           0.0058406,           0.0045055,           0.0045055,           0.0045055
